route_id,origin,destination,distance_km,one_way_block_hours,round_trip_block_hours,aircraft_type,range_feasible,frequency_options,market_type,base_weekly_demand,fare_multiplier,airport_cost_tier,weekly_fixed_route_cost,competition_level,average_fare,airport_service_cost_per_rotation,flight_operating_cost_per_rotation,variable_cost_per_rotation,weekly_demand
BRU-VLC,BRU,VLC,1327,2.32,6.14,A320neo,True,0|3|4|7|10|14,leisure,1200,0.9,low,5000,medium,118.13,1500,14088.6,15588.6,1200
BRU-MXP,BRU,MXP,665,1.44,4.38,A320neo,True,0|3|4|7|10|14,mixed,1900,1.05,high,9000,high,92.64,2800,9415.0,12215.0,1900
BRU-NAP,BRU,NAP,1345,2.34,6.18,A320neo,True,0|3|4|7|10|14,leisure,1450,0.95,medium,6000,medium,125.8,2000,14209.0,16209.0,1450
BRU-VCE,BRU,VCE,836,1.66,4.82,A320neo,True,0|3|4|7|10|14,leisure,1400,1.0,medium,7000,medium,99.34,2000,10609.8,12609.8,1400
BRU-BUD,BRU,BUD,1139,2.07,5.64,A320neo,True,0|3|4|7|10|14,mixed,1400,0.95,medium,6000,medium,113.08,2000,12761.2,14761.2,1400
BRU-WAW,BRU,WAW,1146,2.08,5.66,A320neo,True,0|3|4|7|10|14,business,1550,1.1,medium,7000,medium,131.44,2000,12811.8,14811.8,1550
BRU-KRK,BRU,KRK,1084,2.0,5.5,A320neo,True,0|3|4|7|10|14,leisure,1150,0.9,low,5000,low,103.91,1500,12378.2,13878.2,1150
BRU-OTP,BRU,OTP,1755,2.89,7.28,A320neo,True,0|3|4|7|10|14,mixed,1200,1.0,medium,6000,medium,159.07,2000,17112.0,19112.0,1200
BRU-SOF,BRU,SOF,1698,2.81,7.12,A320neo,True,0|3|4|7|10|14,mixed,950,0.95,low,5000,low,147.6,1500,16702.4,18202.4,950
BRU-SPU,BRU,SPU,1208,2.16,5.82,A320neo,True,0|3|4|7|10|14,leisure,1100,1.0,low,5000,low,123.52,1500,13245.4,14745.4,1100
BRU-RAK,BRU,RAK,2380,3.72,8.94,A320neo,True,0|3|4|7|10|14,leisure,1350,1.0,medium,6000,medium,199.7,2000,21523.0,23523.0,1350
BRU-IST,BRU,IST,2140,3.4,8.3,A320neo,True,0|3|4|7|10|14,mixed,1850,1.15,high,10000,high,211.71,2800,19827.0,22627.0,1850
